Gene_Symbol,GeneID,Description
SFRS5,6430,"splicing factor, arginine/serine-rich 5"
RCN1,5954,"reticulocalbin 1, EF-hand calcium binding domain"
C11orf9,745,chromosome 11 open reading frame 9
CD58,965,CD58 molecule
DNAJB11,51726,"DnaJ (Hsp40) homolog, subfamily B, member 11"
LOC388610,388610,hypothetical LOC388610
MAPK10,5602,mitogen-activated protein kinase 10
ANK3,288,"ankyrin 3, node of Ranvier (ankyrin G)"
SCARNA15,677778,small Cajal body-specific RNA 15
KCNA4,3739,"potassium voltage-gated channel, shaker-related subfamily, member 4"
EML1,2009,echinoderm microtubule associated protein like 1
RBM19,9904,RNA binding motif protein 19
TMEFF1,8577,transmembrane protein with EGF-like and two follistatin-like domains 1
HERC6,55008,hect domain and RLD 6
ARNT2,9915,aryl-hydrocarbon receptor nuclear translocator 2
ABCB11,8647,"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
RPS4X,6191,"ribosomal protein S4, X-linked"
ACF,29974,apobec-1 complementation factor
GNRHR,2798,gonadotropin-releasing hormone receptor
ENG,2022,endoglin (Osler-Rendu-Weber syndrome 1)
TTLL11,158135,"tubulin tyrosine ligase-like family, member 11"
SLC25A4,291,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
SEMA3B,7869,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
OXT,5020,"oxytocin, prepro- (neurophysin I)"
OMD,4958,osteomodulin
SPP2,6694,"secreted phosphoprotein 2, 24kDa"
SULT2A1,6822,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1"
CRYAA,1409,"crystallin, alpha A"
PTTG1IP,754,pituitary tumor-transforming 1 interacting protein
ZSWIM5,57643,"zinc finger, SWIM-type containing 5"
MLXIP,22877,MLX interacting protein
APOB,338,apolipoprotein B (including Ag(x) antigen)
NUP62CL,54830,nucleoporin 62kDa C-terminal like
TULP3,7289,tubby like protein 3
FSD1L,83856,fibronectin type III and SPRY domain containing 1-like
SPP1,6696,"secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)"
CCDC23,374969,coiled-coil domain containing 23
DNAJA1,3301,"DnaJ (Hsp40) homolog, subfamily A, member 1"
MSN,4478,moesin
GZMA,3001,"granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"
GBP2,2634,"guanylate binding protein 2, interferon-inducible"
CDO1,1036,"cysteine dioxygenase, type I"
RCVRN,5957,recoverin
LOC340544,340544,hypothetical protein LOC340544
C1GALT1,56913,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
MRPL33,9553,mitochondrial ribosomal protein L33
PDGFB,5155,platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
LOC348801,348801,hypothetical protein LOC348801
MEF2B,4207,myocyte enhancer factor 2B
ZMYND8,23613,"zinc finger, MYND-type containing 8"
RGS17,26575,regulator of G-protein signaling 17
ALOX5,240,arachidonate 5-lipoxygenase
SATB1,6304,SATB homeobox 1
FMN2,56776,formin 2
SEC16A,9919,SEC16 homolog A
FAM46C,54855,"family with sequence similarity 46, member C"
RAB6B,51560,"RAB6B, member RAS oncogene family"
C14orf132,56967,chromosome 14 open reading frame 132
POLR2B,5431,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa"
GSTO1,9446,glutathione S-transferase omega 1
HYOU1,10525,hypoxia up-regulated 1
IL31RA,133396,interleukin 31 receptor A
LAD1,3898,ladinin 1
ZNF263,10127,zinc finger protein 263
SALL1,6299,sal-like 1
FAM125B,89853,"family with sequence similarity 125, member B"
TBC1D1,23216,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1"
EBF3,253738,early B-cell factor 3
MSRB2,22921,methionine sulfoxide reductase B2
C3orf14,57415,chromosome 3 open reading frame 14
MAGEH1,28986,"melanoma antigen family H, 1"
IMP5,162540,intramembrane protease 5
GABRP,2568,"gamma-aminobutyric acid (GABA) A receptor, pi"
TOP2A,7153,topoisomerase (DNA) II alpha 170kDa
TF,7018,transferrin
ABCC4,10257,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
LOC654433,654433,hypothetical LOC654433
SLC6A8,6535,"solute carrier family 6 (neurotransmitter transporter, creatine), member 8"
RETN,56729,resistin
MED28,80306,mediator complex subunit 28
HNF4G,3174,"hepatocyte nuclear factor 4, gamma"
RBM15,64783,RNA binding motif protein 15
THNSL2,55258,threonine synthase-like 2
PRH2,5555,proline-rich protein HaeIII subfamily 2
CAPN13,92291,calpain 13
SLMAP,7871,sarcolemma associated protein
NRG2,9542,neuregulin 2
KL,9365,klotho
AXIN2,8313,"axin 2 (conductin, axil)"
HCFC1R1,54985,host cell factor C1 regulator 1 (XPO1 dependent)
UBE2E3,10477,"ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"
C21orf55,54943,chromosome 21 open reading frame 55
PDXK,8566,"pyridoxal (pyridoxine, vitamin B6) kinase"
PRB4,5545,proline-rich protein BstNI subfamily 4
ARHGDIB,397,Rho GDP dissociation inhibitor (GDI) beta
KCTD4,386618,potassium channel tetramerisation domain containing 4
USP22,23326,ubiquitin specific peptidase 22
ING3,54556,"inhibitor of growth family, member 3"
SP5,389058,Sp5 transcription factor
HSPA1A,3303,heat shock 70kDa protein 1A
ENTPD2,954,ectonucleoside triphosphate diphosphohydrolase 2
PLXNA2,5362,plexin A2
ZBTB44,29068,zinc finger and BTB domain containing 44
THADA,63892,thyroid adenoma associated
TNPO1,3842,transportin 1
SRD5A2,6716,"steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)"
OGDH,4967,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
TAGLN3,29114,transgelin 3
GREM2,64388,"gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)"
HMGCLL1,54511,3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1
EIF3EIP,51386,"eukaryotic translation initiation factor 3, subunit E interacting protein"
PGM2,55276,phosphoglucomutase 2
SPTB,6710,"spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)"
ZNF626,199777,zinc finger protein 626
SUFU,51684,suppressor of fused homolog
SCYE1,9255,"small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)"
PRKAR2B,5577,"protein kinase, cAMP-dependent, regulatory, type II, beta"
CAMK2D,817,calcium/calmodulin-dependent protein kinase (CaM kinase) II delta
LAMP1,3916,lysosomal-associated membrane protein 1
PTPRM,5797,"protein tyrosine phosphatase, receptor type, M"
SERPINE1,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
FMO1,2326,flavin containing monooxygenase 1
PACSIN2,11252,protein kinase C and casein kinase substrate in neurons 2
RIOK3,8780,RIO kinase 3
HOMER2,9455,homer homolog 2
SLC9A6,10479,"solute carrier family 9 (sodium/hydrogen exchanger), member 6"
WFS1,7466,Wolfram syndrome 1 (wolframin)
OVOL2,58495,ovo-like 2
C14orf73,91828,chromosome 14 open reading frame 73
RAN,5901,"RAN, member RAS oncogene family"
DBT,1629,dihydrolipoamide branched chain transacylase E2
CHST1,8534,carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
BAG3,9531,BCL2-associated athanogene 3
ARID2,196528,"AT rich interactive domain 2 (ARID, RFX-like)"
DNAJC16,23341,"DnaJ (Hsp40) homolog, subfamily C, member 16"
TPBG,7162,trophoblast glycoprotein
COMMD8,54951,COMM domain containing 8
GOPC,57120,golgi associated PDZ and coiled-coil motif containing
PDZRN4,29951,PDZ domain containing RING finger 4
PIPOX,51268,pipecolic acid oxidase
IFNGR1,3459,interferon gamma receptor 1
ADAMTSL3,57188,ADAMTS-like 3
SCG3,29106,secretogranin III
RALA,5898,v-ral simian leukemia viral oncogene homolog A (ras related)
FGD6,55785,"FYVE, RhoGEF and PH domain containing 6"
LOC153364,153364,similar to metallo-beta-lactamase superfamily protein
MOSC2,54996,MOCO sulphurase C-terminal domain containing 2
IL1F6,27179,"interleukin 1 family, member 6 (epsilon)"
FTL,2512,"ferritin, light polypeptide"
DHX15,1665,DEAH (Asp-Glu-Ala-His) box polypeptide 15
F13B,2165,"coagulation factor XIII, B polypeptide"
SPINK1,6690,"serine peptidase inhibitor, Kazal type 1"
PTDSS1,9791,phosphatidylserine synthase 1
INTS8,55656,integrator complex subunit 8
TEAD4,7004,TEA domain family member 4
GART,2618,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
LOC402573,402573,hypothetical LOC402573
NDOR1,27158,NADPH dependent diflavin oxidoreductase 1
TNFRSF21,27242,"tumor necrosis factor receptor superfamily, member 21"
SOX5,6660,SRY (sex determining region Y)-box 5
ELMO1,9844,engulfment and cell motility 1
ZW10,9183,"ZW10, kinetochore associated, homolog"
INSR,3643,insulin receptor
PEAR1,375033,platelet endothelial aggregation receptor 1
FHL1,2273,four and a half LIM domains 1
FAM63B,54629,"family with sequence similarity 63, member B"
MARCH11,441061,membrane-associated ring finger (C3HC4) 11
ATP6V1A,523,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
PKIA,5569,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
CD109,135228,CD109 molecule
SRGAP2P1,653464,SLIT-ROBO Rho GTPase activating protein 2 pseudogene 1
MAGEB3,4114,"melanoma antigen family B, 3"
SPAG11B,10407,sperm associated antigen 11B
GPR172B,55065,G protein-coupled receptor 172B
HMOX1,3162,heme oxygenase (decycling) 1
C6orf32,9750,chromosome 6 open reading frame 32
C22orf23,84645,chromosome 22 open reading frame 23
DST,667,dystonin
CYP2T2P,171523,"cytochrome P450, family 2, subfamily T, polypeptide 2, pseudogene (member of CYP2ABFGST gene cluster, homolog of functional mouse Cyp2t4 and rat Cyp2t1 genes, function not known)"
ADNP2,22850,ADNP homeobox 2
ERBB2,2064,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
YWHAB,7529,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"
ZNF330,27309,zinc finger protein 330
SIX4,51804,SIX homeobox 4
ADAR,103,"adenosine deaminase, RNA-specific"
MORF4L2,9643,mortality factor 4 like 2
GMNN,51053,"geminin, DNA replication inhibitor"
ARMETL1,441549,"arginine-rich, mutated in early stage tumors-like 1"
NR4A2,4929,"nuclear receptor subfamily 4, group A, member 2"
NAT12,122830,N-acetyltransferase 12
MBOAT2,129642,membrane bound O-acyltransferase domain containing 2
PNOC,5368,prepronociceptin
PCNA,5111,proliferating cell nuclear antigen
AKR1B10,57016,"aldo-keto reductase family 1, member B10 (aldose reductase)"
SGMS2,166929,sphingomyelin synthase 2
ADRBK1,156,"adrenergic, beta, receptor kinase 1"
KLHDC2,23588,kelch domain containing 2
GMPS,8833,guanine monphosphate synthetase
DKFZP761N09121,57183,hypothetical protein DKFZp761N09121
EPS15L1,58513,epidermal growth factor receptor pathway substrate 15-like 1
GNAQ,2776,"guanine nucleotide binding protein (G protein), q polypeptide"
RPL12,6136,ribosomal protein L12
FBXO9,26268,F-box protein 9
GAST,2520,gastrin
FOXN3,1112,forkhead box N3
ENPP2,5168,ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
NEUROD1,4760,neurogenic differentiation 1
NR2F6,2063,"nuclear receptor subfamily 2, group F, member 6"
CD244,51744,"CD244 molecule, natural killer cell receptor 2B4"
ATXN1L,342371,ataxin 1-like
C8orf37,157657,chromosome 8 open reading frame 37
LRRN2,10446,leucine rich repeat neuronal 2
PRAF2,11230,"PRA1 domain family, member 2"
PITX1,5307,paired-like homeodomain 1
TYMS,7298,thymidylate synthetase
EFHC1,114327,EF-hand domain (C-terminal) containing 1
ZBTB20,26137,zinc finger and BTB domain containing 20
FXR1,8087,"fragile X mental retardation, autosomal homolog 1"
PDIA6,10130,"protein disulfide isomerase family A, member 6"
RUSC2,9853,RUN and SH3 domain containing 2
CHIC1,53344,cysteine-rich hydrophobic domain 1
SH3GLB1,51100,SH3-domain GRB2-like endophilin B1
ETNK1,55500,ethanolamine kinase 1
MAN2B2,23324,"mannosidase, alpha, class 2B, member 2"
RCAN2,10231,regulator of calcineurin 2
EPB49,2039,erythrocyte membrane protein band 4.9 (dematin)
C1orf121,51029,chromosome 1 open reading frame 121
AMPD1,270,adenosine monophosphate deaminase 1 (isoform M)
FAM83H,286077,"family with sequence similarity 83, member H"
PRKCSH,5589,protein kinase C substrate 80K-H
PTX3,5806,"pentraxin-related gene, rapidly induced by IL-1 beta"
RARRES1,5918,retinoic acid receptor responder (tazarotene induced) 1
CLIC5,53405,chloride intracellular channel 5
PIF1,80119,PIF1 5'-to-3' DNA helicase homolog
STON2,85439,stonin 2
PHPT1,29085,phosphohistidine phosphatase 1
HTN3,3347,histatin 3
ELFN2,114794,extracellular leucine-rich repeat and fibronectin type III containing 2
RAB8B,51762,"RAB8B, member RAS oncogene family"
CHRNA4,1137,"cholinergic receptor, nicotinic, alpha 4"
SAGE1,55511,sarcoma antigen 1
C10orf132,401647,chromosome 10 open reading frame 132
C8B,732,"complement component 8, beta polypeptide"
MAGEC2,51438,"melanoma antigen family C, 2"
ONECUT2,9480,one cut homeobox 2
PROCR,10544,"protein C receptor, endothelial (EPCR)"
C10orf39,282973,chromosome 10 open reading frame 39
PMCH,5367,pro-melanin-concentrating hormone
EP400,57634,E1A binding protein p400
ASAHL,27163,N-acylsphingosine amidohydrolase (acid ceramidase)-like
SEPT10,10801,septin 9
SKAP2,8935,src kinase associated phosphoprotein 2
RAB5C,5878,"RAB5C, member RAS oncogene family"
CHMP1B,57132,chromatin modifying protein 1B
TMEM50B,757,transmembrane protein 50B
HIST1H3F,8968,"histone cluster 1, H3f"
STC1,6781,stanniocalcin 1
MTSS1,9788,metastasis suppressor 1
TBC1D7,51256,"TBC1 domain family, member 7"
UTP6,55813,"UTP6, small subunit (SSU) processome component, homolog"
SLC35A3,23443,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"
AGT,183,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
SOX30,11063,SRY (sex determining region Y)-box 30
UPK3A,7380,uroplakin 3A
LAMB2,3913,"laminin, beta 2 (laminin S)"
LARP6,55323,"La ribonucleoprotein domain family, member 6"
CPN1,1369,"carboxypeptidase N, polypeptide 1"
LOC642361,642361,hypothetical LOC642361
PDSS2,57107,"prenyl (decaprenyl) diphosphate synthase, subunit 2"
BCAP29,55973,B-cell receptor-associated protein 29
DENND2A,27147,DENN/MADD domain containing 2A
DKFZP564O0823,25849,DKFZP564O0823 protein
UBAC1,10422,UBA domain containing 1
TSKU,25987,tsukushin
SERPIND1,3053,"serpin peptidase inhibitor, clade D (heparin cofactor), member 1"
CDC37,11140,cell division cycle 37 homolog
EDG1,1901,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1"
MFGE8,4240,milk fat globule-EGF factor 8 protein
NOVA1,4857,neuro-oncological ventral antigen 1
STEAP1,26872,six transmembrane epithelial antigen of the prostate 1
RP11-50D16.3,387921,similar to RIKEN cDNA 8030451K01
COPS2,9318,COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)
NOX1,27035,NADPH oxidase 1
C21orf45,54069,chromosome 21 open reading frame 45
FABP6,2172,"fatty acid binding protein 6, ileal (gastrotropin)"
FKBP15,23307,"FK506 binding protein 15, 133kDa"
FUT9,10690,"fucosyltransferase 9 (alpha (1,3) fucosyltransferase)"
SULT1A2,6799,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2"
KCNJ12,3768,"potassium inwardly-rectifying channel, subfamily J, member 12"
NENF,29937,neuron derived neurotrophic factor
MDFI,4188,MyoD family inhibitor
CALCRL,10203,calcitonin receptor-like
UAP1,6675,UDP-N-acteylglucosamine pyrophosphorylase 1
CA5A,763,"carbonic anhydrase VA, mitochondrial"
LOC728676,728676,similar to SR protein related family member (rsr-1)
CENTG1,116986,"centaurin, gamma 1"
PPIC,5480,peptidylprolyl isomerase C (cyclophilin C)
BRWD1,54014,bromodomain and WD repeat domain containing 1
F13A1,2162,"coagulation factor XIII, A1 polypeptide"
LRRC32,2615,leucine rich repeat containing 32
FBXL4,26235,F-box and leucine-rich repeat protein 4
ULK2,9706,unc-51-like kinase 2 (C. elegans)
FBN1,2200,fibrillin 1
HRASLS3,11145,HRAS-like suppressor 3
TXN,7295,thioredoxin
NT5C3,51251,"5'-nucleotidase, cytosolic III"
CEACAM7,1087,carcinoembryonic antigen-related cell adhesion molecule 7
LMO3,55885,LIM domain only 3 (rhombotin-like 2)
RGS5,8490,regulator of G-protein signaling 5
RPL34,6164,ribosomal protein L34
CACNA2D2,9254,"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
PTAR1,375743,protein prenyltransferase alpha subunit repeat containing 1
SQSTM1,8878,sequestosome 1
LACTB2,51110,"lactamase, beta 2"
XYLT1,64131,xylosyltransferase I
NTN2L,4917,netrin 2-like (chicken)
CROP,51747,cisplatin resistance-associated overexpressed protein
PPP2R2A,5520,"protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform"
DPP8,54878,dipeptidyl-peptidase 8
AP4M1,9179,"adaptor-related protein complex 4, mu 1 subunit"
SMS,6611,spermine synthase
UQCRQ,27089,"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"
LOC132430,132430,"similar to poly(A) binding protein, cytoplasmic 4 (inducible form)"
APH1A,51107,anterior pharynx defective 1 homolog A (C. elegans)
LYSMD3,116068,"LysM, putative peptidoglycan-binding, domain containing 3"
MC1R,4157,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
LIG4,3981,"ligase IV, DNA, ATP-dependent"
CA1,759,carbonic anhydrase I
HSPH1,10808,heat shock 105kDa/110kDa protein 1
ARL3,403,ADP-ribosylation factor-like 3
C8orf55,51337,chromosome 8 open reading frame 55
EDN2,1907,endothelin 2
FSCN1,6624,"fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)"
SLC25A21,89874,"solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21"
RASL12,51285,"RAS-like, family 12"
PAICS,10606,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
MRAS,22808,muscle RAS oncogene homolog
IRF8,3394,interferon regulatory factor 8
ODF2,4957,outer dense fiber of sperm tails 2
ACAA2,10449,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
NFIL3,4783,"nuclear factor, interleukin 3 regulated"
CLCN5,1184,"chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)"
PPP4R1,9989,"protein phosphatase 4, regulatory subunit 1"
CAPZA2,830,"capping protein (actin filament) muscle Z-line, alpha 2"
ECHDC1,55862,enoyl Coenzyme A hydratase domain containing 1
SFRS17A,8227,"splicing factor, arginine/serine-rich 17A"
GHR,2690,growth hormone receptor
CHST2,9435,carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
CBLN4,140689,cerebellin 4 precursor
ARNTL2,56938,aryl hydrocarbon receptor nuclear translocator-like 2
TMEM46,387914,transmembrane protein 46
CDKN2AIP,55602,CDKN2A interacting protein
DKK2,27123,dickkopf homolog 2 (Xenopus laevis)
LLGL2,3993,lethal giant larvae homolog 2
C22orf29,79680,chromosome 22 open reading frame 29
NT5C,30833,"5', 3'-nucleotidase, cytosolic"
IKZF3,22806,IKAROS family zinc finger 3 (Aiolos)
SIX6,4990,SIX homeobox 6
C7orf42,55069,chromosome 7 open reading frame 42
BTC,685,betacellulin
LAT2,7462,"linker for activation of T cells family, member 2"
PRKRA,8575,"protein kinase, interferon-inducible double stranded RNA dependent activator"
GCH1,2643,GTP cyclohydrolase 1 (dopa-responsive dystonia)
TNNC2,7125,troponin C type 2 (fast)
COPZ2,51226,"coatomer protein complex, subunit zeta 2"
SOX15,6665,SRY (sex determining region Y)-box 15
PPM2C,54704,"protein phosphatase 2C, magnesium-dependent, catalytic subunit"
